Unnamed: 0.1,Unnamed: 0,brand,name,price,spec_rating,processor,CPU,Ram,Ram_type,ROM,ROM_type,GPU,display_size,resolution_width,resolution_height,OS,warranty
0,0,Hp,Victus 15-Fb0157Ax Gaming Laptop,49900,73.0,5Th Gen Amd Ryzen 5 5600H,"Hexa Core, 12 Threads",8Gb,Ddr4,512Gb,Ssd,4Gb Amd Radeon Rx 6500M,15.6,1920,1080,Windows 11 Os,1
1,1,Hp,15S-Fq5007Tu Laptop,39900,60.0,12Th Gen Intel Core I3 1215U,"Hexa Core (2P + 4E), 8 Threads",8Gb,Ddr4,512Gb,Ssd,Intel Uhd Graphics,15.6,1920,1080,Windows 11 Os,1
2,2,Acer,One 14 Z8-415 Laptop,26990,69.32352941,11Th Gen Intel Core I3 1115G4,"Dual Core, 4 Threads",8Gb,Ddr4,512Gb,Ssd,Intel Iris Xe Graphics,14.0,1920,1080,Windows 11 Os,1
3,3,Lenovo,Yoga Slim 6 14Iap8 82Wu0095In Laptop,59729,66.0,12Th Gen Intel Core I5 1240P,"12 Cores (4P + 8E), 16 Threads",16Gb,Lpddr5,512Gb,Ssd,Intel Integrated Iris Xe,14.0,2240,1400,Windows 11 Os,1
4,4,Apple,Macbook Air 2020 Mgnd3Hn Laptop,69990,69.32352941,Apple M1,Octa Core (4P + 4E),8Gb,Ddr4,256Gb,Ssd,Apple M1 Integrated Graphics,13.3,2560,1600,Mac Os,1
5,5,Acer,Extensa Ex214-53 Laptop,39990,62.0,12Th Gen Intel Core I5 1240P,"12 Cores (4P + 8E), 16 Threads",8Gb,Ddr4,512Gb,Ssd,Intel Iris Xe Graphics,14.0,1920,1080,Windows 11 Os,1
6,6,Dell,Inspiron 3520 D560896Win9B Laptop,36790,60.0,12Th Gen Intel Core I3 1215U,"Hexa Core (2P + 4E), 8 Threads",8Gb,Ddr4,512Gb,Ssd,Intel Uhd Graphics,15.6,1920,1080,Windows 11 Os,1
7,7,Acer,Nitro V Anv15-51 2023 Gaming Laptop,76990,63.0,13Th Gen Intel Core I5 13420H,"Octa Core (4P + 4E), 12 Threads",16Gb,Ddr5,512Gb,Ssd,6Gb Nvidia Geforce Rtx 4050,15.6,1920,1080,Windows 11 Os,1
8,8,Asus,Vivobook 15 X1502Za-Ej523Ws Laptop,48990,64.0,12Th Gen Intel Core I5 12500H,"12 Cores (4P + 8E), 16 Threads",8Gb,Ddr4,512Gb,Ssd,Intel Iris Xe,15.6,1920,1080,Windows 11 Os,1
9,9,Samsung,Galaxy Book2 Pro 13 Laptop,74990,68.0,12Th Gen Intel Core I5 1240P,"12 Cores (4P + 8E), 16 Threads",16Gb,Lpddr5,512Gb,Ssd,Intel Iris Xe Graphics,13.3,1080,1920,Windows 11 Os,1
10,10,Lenovo,V15 G3 Iap 82Tta08Ain Laptop,49990,69.32352941,12Th Gen Intel Core I7 1255U,"10 Cores (2P + 8E), 12 Threads",16Gb,Ddr4,512Gb,Ssd,Intel Integrated Uhd,15.6,1920,1080,Windows 11 Os,1
